date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-06 13:00:00,7.88173900410825,10.5873786509962,13.160991421069,13,2,Winter,10.1,11.29,94.66
2023-02-06 14:00:00,6.84389481432769,9.70068274372152,12.0199626859731,14,2,Winter,8.2,9.56,96.57
2023-02-06 15:00:00,6.5798772011579,9.24521859647249,12.2653578956049,15,2,Winter,8.2,9.18,97.06
2023-02-06 16:00:00,7.67206027756361,10.7199665175005,13.9937508306129,16,2,Winter,9.4,8.6,98.62
2023-02-06 17:00:00,9.28017594529309,12.1397010262092,16.3077713654238,17,2,Winter,10.8,7.94,99.81
2023-02-06 18:00:00,9.27394091799962,12.7591585553885,17.1936417283008,18,2,Winter,11.4,7.48,99.9
2023-02-06 19:00:00,9.18447458326026,13.3488365625642,17.315100159862,19,2,Winter,11.4,7.2,99.9
2023-02-06 20:00:00,8.93736519472003,13.431813208805,16.5539003523875,20,2,Winter,10.9,7.12,99.9
2023-02-06 21:00:00,9.80957945162169,14.7656816619843,18.174400554012,21,2,Winter,11.6,7.04,99.9
2023-02-06 22:00:00,10.2788225885343,15.996173687539,19.396319510628,22,2,Winter,12.6,6.85,99.9
2023-02-06 23:00:00,11.2859671232653,16.7988837813927,21.1488408922879,23,2,Winter,14.1,6.56,99.9
2023-02-07 00:00:00,11.8738321721855,17.4654974592057,21.3371600479523,0,2,Winter,14.8,6.25,99.9
2023-02-07 01:00:00,10.1897899550734,15.4139308575191,18.3266089908525,1,2,Winter,12.9,6.05,99.9
2023-02-07 02:00:00,9.91682864691712,14.750440033079,17.7686219847085,2,2,Winter,12.3,6.01,99.9
2023-02-07 03:00:00,12.0371142324636,17.517041719802,21.8028196736597,3,2,Winter,14.7,5.64,99.9
2023-02-07 04:00:00,12.4360577780231,18.6527284135532,22.7807351476087,4,2,Winter,14.3,4.45,99.9
2023-02-07 05:00:00,13.516195895932,20.5442886847357,23.6289431655592,5,2,Winter,14.8,3.2,99.9
2023-02-07 06:00:00,16.0026680945482,23.5869510693064,27.6739394344119,6,2,Winter,16.2,3.05,99.9
2023-02-07 07:00:00,16.5161028184336,24.1768731334474,29.6381654045599,7,2,Winter,16.4,3.03,99.9
2023-02-07 08:00:00,19.2630813593365,26.5425167150023,32.0419921902924,8,2,Winter,18.9,2.68,99.9
2023-02-07 09:00:00,20.1468310474984,26.0262073974862,32.6155439999728,9,2,Winter,19.9,3.18,99.9
2023-02-07 10:00:00,21.067565102681,26.6984671349063,32.7705870856091,10,2,Winter,20.9,3.79,99.9
2023-02-07 11:00:00,17.7865770062094,23.1421100294183,29.0401710964659,11,2,Winter,19.3,6.29,99.63
2023-02-07 12:00:00,18.3753922542528,16.9370934819954,23.8374329307495,12,2,Winter,17.9,18.07,80.85
2023-02-07 13:00:00,13.0901025976802,11.2641447908595,14.7309125316247,13,2,Winter,10.8,22.53,55.91
2023-02-07 14:00:00,9.93354350542834,8.82629014273155,10.3689637532415,14,2,Winter,6.4,23.9,46.49
2023-02-07 15:00:00,9.78117536382219,10.325556930197,12.5562996628794,15,2,Winter,8.0,16.81,55.77
2023-02-07 16:00:00,9.91803826608373,13.4235703073745,16.687392571204,16,2,Winter,11.7,9.66,73.66
2023-02-07 17:00:00,11.9189546831494,16.7750767567343,21.729388002655,17,2,Winter,14.8,8.5,82.93
2023-02-07 18:00:00,13.3199261932238,17.7344783737528,23.9744816242715,18,2,Winter,16.2,7.73,89.08
2023-02-07 19:00:00,15.276949251942,20.0228710420681,26.312409867338,19,2,Winter,18.5,6.98,91.59
2023-02-07 20:00:00,16.4186851747234,21.3176507228731,28.0275465195021,20,2,Winter,19.5,6.37,92.95
2023-02-07 21:00:00,25.1605172626975,29.1105817014261,36.1700705231347,21,2,Winter,28.7,4.44,99.57
2023-02-07 22:00:00,26.9564579952129,31.4075049661341,38.8577060151865,22,2,Winter,32.2,3.37,99.9
2023-02-07 23:00:00,24.4466111773583,29.4715780824162,37.0727496063765,23,2,Winter,28.3,2.57,99.9
2023-02-08 00:00:00,21.3953479514166,27.7544892767611,34.3687523692043,0,2,Winter,26.7,2.02,99.9
2023-02-08 01:00:00,20.4890556342722,27.9780209898993,34.2783753576085,1,2,Winter,25.2,1.49,99.9
2023-02-08 02:00:00,17.6644202835998,26.0060096560334,31.556580206838,2,2,Winter,22.2,1.08,99.9
2023-02-08 03:00:00,17.113425505947,26.4920970099719,31.2950914998647,3,2,Winter,21.8,0.46,99.9
2023-02-08 04:00:00,15.170498019083,24.9944363333709,29.6559823387365,4,2,Winter,20.0,0.22,99.9
2023-02-08 05:00:00,16.0463462100947,25.3202937372935,29.8995719487358,5,2,Winter,20.1,-0.13,99.9
2023-02-08 06:00:00,16.8104609393069,26.2818544518298,31.1419781893059,6,2,Winter,20.9,-0.24,99.9
2023-02-08 07:00:00,18.3364475797921,27.2915337611957,32.769332095924,7,2,Winter,22.0,-0.56,99.9
2023-02-08 08:00:00,20.5900043882471,29.4775931946649,35.4496886840381,8,2,Winter,24.6,-0.38,99.9
2023-02-08 09:00:00,25.7966347628358,31.7798563707256,38.6178722497152,9,2,Winter,28.7,0.77,99.9
2023-02-08 10:00:00,29.9024834776275,34.4565932168994,42.6858024168073,10,2,Winter,33.3,2.01,99.9
2023-02-08 11:00:00,26.0308406620543,30.8103515730548,37.1954238017851,11,2,Winter,29.4,5.64,96.68
2023-02-08 12:00:00,22.199514611192,22.7840709935382,31.0428848608963,12,2,Winter,25.3,17.75,61.57
2023-02-08 13:00:00,23.4238644859499,24.093395042277,32.7835481940627,13,2,Winter,27.9,20.62,52.35
2023-02-08 14:00:00,26.622020115988,27.5220463797749,36.6816821277334,14,2,Winter,29.3,20.71,51.88
2023-02-08 15:00:00,27.8664280672636,24.7940869818726,37.5138386376282,15,2,Winter,29.3,14.66,61.63
2023-02-08 16:00:00,24.4855603750347,28.533012792904,36.5204081495911,16,2,Winter,28.4,8.5,77.08
2023-02-08 17:00:00,19.2463616696687,26.0388053991611,33.1912491632476,17,2,Winter,24.9,7.17,80.9
