date,microsensor_pm25,hourofday,monthofyear,season,reference_pm25
2023-01-01 00:00,23.2419229901908,0,1,Winter,15.2
2023-01-01 01:00,23.2853351629756,1,1,Winter,15.9
2023-01-01 02:00,21.6872978924329,2,1,Winter,15.2
2023-01-01 03:00,19.9691969801788,3,1,Winter,13.6
2023-01-01 04:00,16.3987248811711,4,1,Winter,11.8
2023-01-01 05:00,16.8052057489127,5,1,Winter,11.4
2023-01-01 06:00,18.0570781003202,6,1,Winter,11.9
2023-01-01 07:00,18.2675680901184,7,1,Winter,11.8
2023-01-01 08:00,16.3045895757962,8,1,Winter,11.1
2023-01-01 09:00,13.1722400210576,9,1,Winter,9.8
2023-01-01 10:00,12.1433126030984,10,1,Winter,9.2
2023-01-01 11:00,12.7249239998109,11,1,Winter,10.2
2023-01-01 12:00,14.1244206523417,12,1,Winter,10.8
2023-01-01 13:00,13.0228446574872,13,1,Winter,10.2
2023-01-01 14:00,7.04276211890988,14,1,Winter,7.1
2023-01-01 15:00,5.23193938544937,15,1,Winter,4.6
2023-01-01 16:00,5.42168544032532,16,1,Winter,5.5
2023-01-01 17:00,7.33207462778937,17,1,Winter,6.7
2023-01-01 18:00,8.11320410871366,18,1,Winter,8.5
2023-01-01 19:00,5.47685207064936,19,1,Winter,5.6
2023-01-01 20:00,5.76835061236703,20,1,Winter,5.4
2023-01-01 21:00,5.54800109731373,21,1,Winter,5.5
2023-01-01 22:00,5.57721509497985,22,1,Winter,5.5
2023-01-01 23:00,5.58605342596177,23,1,Winter,6.4
2023-01-02 00:00,5.69057311739853,0,1,Winter,7.4
2023-01-02 01:00,5.64710792736068,1,1,Winter,8.1
2023-01-02 02:00,6.08692411246412,2,1,Winter,8.7
2023-01-02 03:00,5.8662458112345,3,1,Winter,9.3
2023-01-02 04:00,6.05213776099923,4,1,Winter,9.3
2023-01-02 05:00,6.12358368136587,5,1,Winter,9.0
2023-01-02 06:00,6.20235994172523,6,1,Winter,9.0
2023-01-02 07:00,6.27736691384717,7,1,Winter,8.9
2023-01-02 08:00,6.35333414729169,8,1,Winter,8.7
2023-01-02 09:00,6.10685604587518,9,1,Winter,6.8
2023-01-02 10:00,7.28903174198254,10,1,Winter,7.9
