,date,valeur_x,valeur_y
0,2022-12-16 12:00:00,5.18,99.9
1,2022-12-16 13:00:00,4.87,99.9
2,2022-12-16 14:00:00,4.73,99.9
3,2022-12-16 15:00:00,4.55,99.9
4,2022-12-16 16:00:00,4.1,99.9
5,2022-12-16 17:00:00,3.55,99.9
6,2022-12-16 18:00:00,3.47,99.9
7,2022-12-16 19:00:00,3.42,99.9
8,2022-12-16 20:00:00,3.2,99.9
9,2022-12-16 21:00:00,2.99,99.9
10,2022-12-16 22:00:00,2.88,99.9
11,2022-12-16 23:00:00,3.05,99.9
12,2022-12-17 00:00:00,2.91,99.9
13,2022-12-17 01:00:00,2.45,99.9
14,2022-12-17 02:00:00,2.53,99.9
15,2022-12-17 03:00:00,2.62,99.9
16,2022-12-17 04:00:00,2.58,99.9
17,2022-12-17 05:00:00,2.33,99.9
18,2022-12-17 06:00:00,2.53,99.9
19,2022-12-17 07:00:00,2.74,99.9
20,2022-12-17 08:00:00,2.87,99.9
21,2022-12-17 09:00:00,3.14,99.9
22,2022-12-17 10:00:00,3.73,99.9
23,2022-12-17 11:00:00,3.95,99.9
24,2022-12-17 12:00:00,4.43,99.9
25,2022-12-17 13:00:00,6.03,99.9
26,2022-12-17 14:00:00,6.01,99.9
27,2022-12-17 15:00:00,5.25,99.9
28,2022-12-17 16:00:00,4.86,99.9
29,2022-12-17 17:00:00,3.63,99.9
30,2022-12-17 18:00:00,3.02,99.9
31,2022-12-17 19:00:00,3.0,99.9
32,2022-12-17 20:00:00,2.16,99.9
33,2022-12-17 21:00:00,1.87,99.9
34,2022-12-17 22:00:00,1.19,99.9
35,2022-12-17 23:00:00,0.94,99.9
36,2022-12-18 00:00:00,0.41,99.9
37,2022-12-18 01:00:00,0.55,99.9
38,2022-12-18 02:00:00,-0.39,99.9
39,2022-12-18 03:00:00,-0.68,99.9
40,2022-12-18 04:00:00,-1.04,99.9
41,2022-12-18 05:00:00,-1.23,99.9
42,2022-12-18 06:00:00,-1.55,99.9
43,2022-12-18 07:00:00,-1.6,99.9
44,2022-12-18 08:00:00,-1.54,99.9
45,2022-12-18 09:00:00,0.19,99.9
46,2022-12-18 10:00:00,3.11,99.9
47,2022-12-18 11:00:00,5.03,99.9
48,2022-12-18 12:00:00,6.66,99.9
49,2022-12-18 13:00:00,7.7,99.41
50,2022-12-18 14:00:00,8.87,97.98
51,2022-12-18 15:00:00,8.09,98.5
52,2022-12-18 16:00:00,5.42,99.9
53,2022-12-18 17:00:00,3.31,99.9
54,2022-12-18 18:00:00,3.06,99.9
55,2022-12-18 19:00:00,3.02,99.9
56,2022-12-18 20:00:00,3.11,99.9
57,2022-12-18 21:00:00,3.54,99.9
58,2022-12-18 22:00:00,3.73,99.9
59,2022-12-18 23:00:00,3.66,99.9
60,2022-12-19 00:00:00,3.74,99.9
61,2022-12-19 01:00:00,3.93,99.9
62,2022-12-19 02:00:00,3.96,99.9
63,2022-12-19 03:00:00,4.29,99.9
64,2022-12-19 04:00:00,4.28,99.9
65,2022-12-19 05:00:00,4.12,99.9
66,2022-12-19 06:00:00,4.19,99.9
67,2022-12-19 07:00:00,4.83,99.9
68,2022-12-19 08:00:00,5.03,99.9
69,2022-12-19 09:00:00,6.38,99.9
70,2022-12-19 10:00:00,7.03,99.58
71,2022-12-19 11:00:00,8.28,98.83
72,2022-12-19 12:00:00,11.15,96.07
73,2022-12-19 13:00:00,14.79,91.11
74,2022-12-19 14:00:00,18.06,74.23
75,2022-12-19 15:00:00,17.39,73.93
76,2022-12-19 16:00:00,16.05,79.91
77,2022-12-19 17:00:00,15.15,84.87
78,2022-12-19 18:00:00,15.12,83.95
79,2022-12-19 19:00:00,15.04,83.1
80,2022-12-19 20:00:00,14.33,83.85
81,2022-12-19 21:00:00,9.35,96.92
82,2022-12-19 22:00:00,8.78,99.64
83,2022-12-19 23:00:00,7.89,99.9
84,2022-12-20 00:00:00,9.55,98.75
85,2022-12-20 01:00:00,7.82,99.9
86,2022-12-20 02:00:00,7.12,99.9
87,2022-12-20 03:00:00,6.99,99.9
88,2022-12-20 04:00:00,6.89,99.9
89,2022-12-20 05:00:00,6.69,99.9
90,2022-12-20 06:00:00,6.7,99.9
91,2022-12-20 07:00:00,6.56,99.9
92,2022-12-20 08:00:00,6.92,99.9
93,2022-12-20 09:00:00,7.6,99.86
94,2022-12-20 10:00:00,8.75,98.94
